date,day,Weedle,Alakazam,Eevee,Magmar,Seadra,Rhydon
7/23/2020,1,97,122,133,116,127,134
7/24/2020,2,106,139,156,139,146,146
7/25/2020,3,118,153,169,151,163,161
7/26/2020,4,140,178,187,180,175,191
7/27/2020,5,154,193,201,197,187,205
7/28/2020,6,168,215,218,214,204,228
7/29/2020,7,187,227,236,227,216,234
7/30/2020,8,204,251,249,243,230,255
7/31/2020,9,218,264,264,266,250,271
8/1/2020,10,232,276,278,283,259,285
8/2/2020,11,247,288,305,293,270,300
8/3/2020,12,263,306,306,311,280,320
8/4/2020,13,273,334,318,341,294,335
8/5/2020,14,283,328,336,347,308,349
8/6/2020,15,295,334,349,352,314,360
8/7/2020,16,312,365,368,377,332,388
,,,,,,,
,,,,,,,
,,,,,,,
